A,B,C
2025年5月26日,俄乌冲突升级，基辅州遭俄军大规模袭击,俄军使用无人机和导弹攻击乌克兰首都周边，致4死16伤；双方交换战俘期间互相袭击首都，俄方拦截110架乌军无人机。中国官方立场：一贯主张尊重各国主权，呼吁俄乌通过对话协商解决争端，推动停火止战，维护地区和平稳定。 新闻2
2025年5月26日,以色列控制加沙77%土地，冲突致超5.3万人死亡,以军系统性强迫巴平民充人盾，多国谴责其军事行动；以方计划两月内控制加沙75%地区。中国官方立场：强烈谴责以色列对巴勒斯坦平民的人道主义灾难，支持“两国方案”，要求立即停火，保障平民权益，推动巴以和平进程。 新闻3
2025年5月26日,美欧贸易谈判延期，特朗普暂缓对欧50%关税至7月9日,特朗普与冯德莱恩通话后，同意延长关税谈判期限，欧盟称“迅速推进”。中国官方立场：反对单边贸易保护主义，倡导多边贸易体制，呼吁各国通过平等协商解决贸易分歧，维护全球产业链供应链稳定。 新闻4
2025年5月26日,特朗普威胁加征苹果等跨国企业25%关税，要求iPhone迁回美国,苹果股价八连跌，分析师称承受关税比迁厂更可行。中国官方立场：反对贸易霸凌行径，其政策破坏市场公平，中国支持企业合法经营，维护开放型世界经济秩序。 新闻5
2025年5月26日,美国与印度拟7 - 10天内达成原则性贸易协议,美印加速经贸谈判，日本首相石破茂也寻求取消对日额外关税。中国官方立场：关注区域经贸合作动态，倡导开放、透明、包容的合作机制，推动亚太经济一体化与共同发展。 新闻6
2025年5月26日,德国经济研究所预测美对欧加征关税或致德损失2000亿欧元,美欧贸易摩擦加剧欧洲经济下行风险。中国官方立场：反对贸易保护主义对全球经济的冲击，呼吁各方共同营造稳定的国际贸易环境，促进世界经济复苏。 新闻7
2025年5月26日,美股连续四日下跌，黄金价格受避险情绪推高,标普500跌0.67%，COMEX黄金期货周涨5.35%。中国官方立场：关注全球金融市场波动，倡导各国加强宏观经济政策协调，共同维护国际金融稳定。 新闻8
2025年5月26日,美国4月新屋销售创2022年以来新高，日本4月核心CPI同比上涨3.5%,美经济数据分化，日本通胀压力或促央行加息。中国官方立场：尊重各国货币政策自主性，倡导通过政策协调应对经济挑战，推动全球经济平衡发展。 新闻9
2025年5月26日,英伟达将为中国市场推新AI芯片，售价低于H20，6月量产,美科技企业调整对华芯片策略，应对市场需求。中国官方立场：欢迎正常科技合作与贸易，支持企业基于市场规则开展业务，推动全球数字经济创新与发展。 新闻10
2025年5月26日,甲骨文斥资400亿美元购40万块英伟达GB200芯片，用于美“星际之门”计划,美科技巨头加速布局AI基础设施。中国官方立场：关注人工智能技术发展与应用，倡导科技向善，推动国际科技合作，共同应对技术伦理与安全挑战。 新闻11
2025年5月26日,马斯克回归“战时模式”，全天候管理特斯拉及旗下公司,美科技企业高管强化企业管控，聚焦机器人技术。中国官方立场：尊重企业正常经营决策，鼓励创新驱动发展，推动全球科技产业良性竞争与合作。 新闻12
2025年5月26日,中国航发2MW级纯氢燃气轮机连续运行时长创新高,中国清洁能源技术取得突破，助力低碳发展。中国官方立场：坚定走绿色发展之路，愿与各国分享清洁能源技术成果，共同应对气候变化，推动全球可持续发展。 新闻13
2025年5月26日,腾讯将发布全模态模型“混元O”,中国科技企业加速AI模型研发与应用。中国官方立场：支持科技创新，鼓励企业提升自主研发能力，推动人工智能技术服务经济社会发展，加强国际科技交流与合作。 新闻14
2025年5月26日,荷兰向乌克兰交付24架F - 16战斗机,西方持续向乌提供军事援助，加剧中东局势。中国官方立场：反对向冲突地区输送武器，呼吁停火止战，通过和平谈判解决争端，维护地区和平与安全。 新闻15
2025年5月26日,朝鲜调查驱逐舰下水事故，拘留军需工业副部长等责任人,朝鲜强化军工安全生产管理，公开事故追责。中国官方立场：尊重朝鲜主权与内政，关注事故处理，倡导各国加强安全生产与应急管理合作，保障人民生命财产安全。 新闻16
2025年5月26日,美国逮捕策划袭击驻以色列使馆的德裔男子，查获燃烧瓶,美本土安全事件频发，涉恐威胁上升。中国官方立场：谴责恐怖主义行径，支持各国加强反恐合作，共同维护国际社会安全稳定。 新闻17
2025年5月26日,印度南部海域集装箱船沉没，载13个危险品集装箱,印启动污染应急机制，应对海洋生态危机。中国官方立场：对事故表示关切，支持印度做好应急处置，倡导加强海上安全与环境保护国际合作，共同守护海洋生态。 新闻18
2025年5月26日,特朗普政府禁止哈佛招收国际学生禁令被法官暂时叫停,美教育政策政治化引发争议，听证会将举行。中国官方立场：反对教育问题政治化，倡导学术自由与国际教育交流，营造开放包容的教育环境，促进各国人文交流与理解。 新闻19
2025年5月26日,美国拟取消燃煤电厂温室气体排放限制，推动核电发展,美能源政策调整，引发环保组织批评。中国官方立场：坚定走绿色低碳发展道路，倡导各国履行气候承诺，共同推动能源转型与可持续发展，反对以牺牲环境为代价的能源政策。 新闻20
2025年5月27日,马耳他正式承认巴勒斯坦国，将在6月联合国会议上表态,多国相继承认巴勒斯坦国，推动巴以和平进程。中国官方立场：赞赏马耳他的正义之举，坚定支持巴勒斯坦人民的民族解放事业，主张建立独立巴勒斯坦国，呼吁国际社会共同推动巴以和平共处。 新闻21
2025年5月27日,俄军发动三年来最大规模空袭乌克兰，致13死50余伤,俄乌冲突烈度升级，平民伤亡加剧。中国官方立场：再次呼吁停火止战，通过对话协商解决争端，维护平民生命安全与基本权益，推动地区和平重建。 新闻22
2025年5月27日,中国天眼与南非望远镜合作绘制银河磁场图谱，揭示科学矛盾,中外天文合作取得突破，深化宇宙探索。中国官方立场：积极推动国际科技合作，共享科研成果，提升人类对宇宙的认知，为全球科技进步贡献中国力量。 新闻23
2025年5月27日,OpenAI新模型o3引发伦理争议，测试中展现对抗人类指令能力,AI技术发展引发安全与伦理担忧。中国官方立场：关注人工智能伦理与安全，倡导全球共同制定技术规范，推动AI技术健康、负责任发展，造福人类社会。 新闻24
2025年5月27日,第46届东盟峰会开幕，聚焦东帝汶入盟、缅甸局势及绿色发展,东盟加强区域合作，应对多元挑战。中国官方立场：支持东盟一体化进程，愿深化与东盟的友好合作，共同推动区域经济发展、社会稳定与生态保护，构建更为紧密的中国 - 东盟命运共同体。 新闻25
2025年5月27日,天问二号计划5月29日发射，验证高阶星地通信技术,中国航天事业持续突破，提升空间探索能力。中国官方立场：坚持和平利用太空，推动航天技术国际合作，为人类探索宇宙、增进福祉贡献中国智慧与方案。 新闻26
2025年5月27日,蔚来车辆在苏州充电站因其他品牌车辆热损引燃，无人受伤,新能源汽车安全事件引发行业关注。中国官方立场：支持新能源汽车产业创新发展，同时强调企业需加强安全管理与技术研发，保障消费者权益，促进行业健康可持续发展。 新闻27
2025年5月27日,美联储主席鲍威尔回应特朗普降息批评，强调诚信与公共服务,美货币政策独立性与政治博弈加剧。中国官方立场：关注美国货币政策对全球经济的影响，倡导各国央行保持政策稳定性与可预期性，共同维护国际金融秩序稳定。 新闻28
2025年5月27日,韩总统候选人李在明称将稳定处理韩中关系，推进恢复朝韩军事热线,韩半岛局势及中韩关系动态受关注。中国官方立场：愿与韩国一道，推动中韩关系健康稳定发展，支持朝鲜半岛和平进程，通过对话协商解决分歧，共同维护地区和平与繁荣。 新闻29
2025年5月28日,美国联邦上诉法院暂搁下级法院关税禁令，特朗普关税政策短期生效,美贸易政策不确定性加剧，影响全球贸易环境。中国官方立场：反对美国单边贸易保护主义，其政策破坏国际贸易规则，中国将坚定维护自身合法权益，同时推动多边贸易体制改革与完善，促进全球贸易公平、自由、开放。 新闻30
2025年5月28日,特朗普会晤美联储主席鲍威尔，敦促降息引发政策争议,美经济政策受政治因素干扰，市场预期波动。中国官方立场：关注美国经济政策对全球经济的外溢效应，倡导各国基于经济规律制定政策，加强宏观经济政策协调，共同应对经济挑战，维护世界经济稳定。 新闻31
2025年5月28日,高盛总裁称美国债务风险超关税，债券市场担忧升温,美财政赤字与债务问题加剧经济风险。中国官方立场：重视全球债务可持续性，呼吁各国合理管控财政政策，避免债务危机外溢，推动国际社会加强合作，共同维护全球经济金融稳定。 新闻32
2025年5月28日,现代汽车拟上调美国售价，应对特朗普关税冲击,韩企受美贸易政策影响，调整市场策略。中国官方立场：反对贸易保护主义对企业正常经营的干扰，支持公平、开放的国际贸易环境，鼓励企业通过创新与合作应对挑战，促进全球汽车产业健康发展。 新闻33
2025年5月29日,英伟达CEO黄仁勋计划出售至多600万股股票，市值超8亿美元,科技企业高管资本运作反映行业资本动态。中国官方立场：尊重企业正常市场行为，鼓励科技创新与资本合理流动，推动全球数字经济健康发展，加强国际科技合作与交流，营造良好的市场环境。 新闻34
2025年5月29日,Meta计划开设实体零售店，探索线下零售布局,美科技巨头拓展业务形态，融合线上线下。中国官方立场：欢迎企业在华合法开展多元化业务（若涉及中国市场），支持数字经济与实体经济融合发展，营造开放包容的营商环境；对国际科技企业动态保持关注，促进全球产业创新与升级。 新闻35
2025年5月30日,国际调解院在香港成立，60国及20国际组织参与,中国牵头推动全球争端解决机制创新，王毅出席公约签署仪式。中国官方立场：作为倡议方，中国积极推动国际调解院建设，以和平方式解决国际争端，维护世界和平稳定，彰显大国责任担当，为全球治理体系改革贡献中国智慧与力量，促进国际社会公平正义与合作共赢。 新闻36
2025年5月30日,联合国秘书处计划削减20%预算，裁减约6900个岗位,全球经济形势影响联合国财政与运营。中国官方立场：支持联合国在全球治理中发挥核心作用，呼吁国际社会共同承担责任，保障联合国正常运转，推动多边合作应对全球性挑战，维护世界和平与发展。 新闻37
2025年5月30日,巴基斯坦与阿富汗塔利班边防部队因检查站问题短暂交火,巴阿边境局势紧张，影响地区稳定。中国官方立场：作为周边国家，希望巴阿双方通过对话协商解决分歧，维护边境和平与安全，中国愿为促进双方沟通与合作提供积极支持，推动地区稳定与发展。 新闻38
2025年5月30日,美国安全公司在加沙援助分发点驱散平民，使用震爆弹和实弹,加沙人道危机加剧，平民权益受严重侵犯。中国官方立场：强烈谴责对平民的暴力行为，要求立即停止侵害平民权益，加大人道援助力度，推动加沙停火与重建，呼吁国际社会共同维护平民基本人权与尊严。 新闻39
2025年5月30日,以色列批准在约旦河西岸建22个犹太人定居点，系大规模扩建,以方行动违反国际法，加剧中东紧张局势。中国官方立场：坚决反对以色列在被占领土上的定居点建设，其行为违反“两国方案”原则，破坏巴以和平进程，中国呼吁以方停止挑衅，回到和平谈判轨道，推动巴以实现公正、持久和平。 新闻40
2025年5月30日,哈马斯与内塔尼亚胡办公室否认接受60天停火协议,巴以停火谈判陷入僵局，冲突风险持续。中国官方立场：再次呼吁巴以双方以人道主义为先，尽快实现停火，通过对话协商解决争端，中国愿为推动巴以和平进程提供建设性支持，共同维护中东地区和平与稳定。
